Week,Price,Prediction Price
0.0,65.43,66.43143463134766
1.0,68.79,68.01213836669922
2.0,71.07,70.63885498046875
3.0,74.95,74.3108901977539
4.0,77.83,78.11247253417969
5.0,77.24,79.62528228759766
6.0,80.36,78.74241638183594
7.0,81.24,81.0144271850586
8.0,73.16,75.60319519042969
9.0,72.26,73.72551727294922
10.0,63.22,66.18785858154297
11.0,64.61,60.71571350097656
12.0,65.62,61.732723236083984
13.0,71.67,70.11827850341797
14.0,70.79,69.72606658935547
15.0,75.16,73.50823211669922
16.0,76.93,77.47734069824219
17.0,79.53,79.39642333984375
18.0,82.88,80.73136138916016
19.0,88.02,85.07118225097656
20.0,91.21,89.56809997558594
21.0,93.17,91.15451049804688
22.0,96.52,96.06280517578125
23.0,94.81,93.81053161621094
24.0,110.06,103.69751739501953
25.0,114.91,111.51774597167969
26.0,124.81999999999998,119.63726806640625
27.0,120.87999999999998,128.17996215820312
28.0,115.54,112.83106231689453
29.0,108.22,108.46549224853516
30.0,116.5,113.60466766357422
31.0,121.19,118.13018798828125
32.0,115.04,115.49662780761719
33.0,110.44,109.65953063964844
34.0,119.21,116.0673828125
35.0,113.85,116.92913055419922
36.0,122.94000000000001,118.85494995117188
37.0,121.78,121.2476577758789
38.0,130.96,126.94782257080078
39.0,131.01,130.29067993164062
40.0,128.91,127.91571807861328
41.0,143.16,134.78424072265625
42.0,137.39,132.53216552734375
43.0,133.19,133.3639373779297
44.0,120.99000000000001,124.77371978759766
