Week,Price,Prediction Price
0.0,54.95000076,53.34092712402344
1.0,50.39749908,52.45159912109375
2.0,46.70000076,48.737884521484375
3.0,43.65499878,43.617862701416016
4.0,43.68000031,44.00601577758789
5.0,40.98500061,41.30663299560547
6.0,39.03749847,37.633270263671875
7.0,37.6875,36.57844161987305
8.0,38.96500015000001,37.488563537597656
9.0,38.66999817,38.08340072631836
10.0,42.73500061,41.955711364746094
11.0,42.73249817,41.74024963378906
12.0,43.28749847,42.588314056396484
13.0,44.72499847000001,42.546241760253906
14.0,47.04000092,45.451995849609375
15.0,47.48749924,45.98836135864258
16.0,49.875,48.047035217285156
17.0,50.96500015,48.7936897277832
18.0,50.16749954,50.02196502685547
19.0,50.18000030999999,50.26529312133789
20.0,45.77249908,46.31241226196289
21.0,44.57500076,43.71781539916992
22.0,48.14500046,44.87995910644531
23.0,49.46749878,47.52094650268555
24.0,49.47999954,48.37179183959961
25.0,50.80749893,49.32560729980469
26.0,50.64749908,49.84426498413086
27.0,52.19499969,50.721412658691406
28.0,50.85749817,48.42774963378906
29.0,52.58750153,49.794559478759766
30.0,51.38249969,50.24864959716797
31.0,53.54249954,51.283267974853516
32.0,55.69250107,53.638824462890625
33.0,54.70500183,53.34197998046875
34.0,56.09999847,54.42474365234375
35.0,58.81999969,57.08938980102539
36.0,62.26250076,59.05982971191406
37.0,64.30999756,61.59083938598633
38.0,66.44000244,63.63396453857422
39.0,66.07250214,63.8397102355957
40.0,67.67749786,63.672454833984375
41.0,70.10250092,66.31148529052734
42.0,72.44999695,68.78707122802734
43.0,75.79750061,72.10796356201172
44.0,79.68250275,75.68588256835938
45.0,81.08499908,76.28412628173828
46.0,80.00749969,76.89508819580078
47.0,80.90499878,78.04393005371094
48.0,68.33999634,69.90324401855469
49.0,71.33499908,69.3570327758789
50.0,61.19499969,61.3631706237793
51.0,63.70249939,59.924720764160156
52.0,66.51750183,60.98850631713867
53.0,69.23249817,68.61051177978516
54.0,71.93250275,67.74917602539062
55.0,77.53250122,72.01201629638672
56.0,78.28500366,74.91507720947266
57.0,79.48500061,76.6944580078125
58.0,85.99749756,78.99700927734375
59.0,87.93250275,83.37074279785156
60.0,90.44499969,86.85283660888672
61.0,95.75250244,89.6131591796875
62.0,98.35749817,93.1531982421875
63.0,95.04000092,90.1875228881836
64.0,111.1125031,105.114990234375
65.0,115.5625,109.40167999267578
66.0,125.0100021,119.20608520507812
67.0,112.8199997,121.41831970214844
68.0,110.3399963,109.34513854980469
69.0,114.9599991,105.34192657470703
70.0,115.0800018,110.13648223876953
71.0,119.0199966,116.11077117919922
72.0,116.5999985,111.1142807006836
73.0,119.0299988,106.8177261352539
74.0,120.3000031,113.72184753417969
75.0,116.0299988,111.63514709472656
76.0,123.75,117.17914581298828
77.0,127.8099976,118.6421890258789
78.0,136.6900024,125.01923370361328
