Date,Close,Predictions
2018-10-18,88.53600311,91.59479
2018-10-19,88.20149994,88.06122
2018-10-22,89.46499634,87.80978
2018-10-23,88.43499756,89.30439
2018-10-24,83.20999908,88.14509
2018-10-25,89.10849762,82.55809
2018-10-26,82.14050293,89.189926
2018-10-29,76.94400024,81.66916
2018-10-30,76.52100372,76.36251
2018-10-31,79.90049744,76.368225
2018-11-01,83.27649689,80.18291
2018-11-02,83.27649689,83.71267
2018-11-05,81.38999939,83.421265
2018-11-06,82.14050293,81.179756
2018-11-07,87.77449799,81.9356
2018-11-08,87.74549866,87.92527
2018-11-09,85.62149811,87.60553
2018-11-12,81.84249878,85.04048
2018-11-13,81.5585022,81.06569
2018-11-14,79.95050049,81.03037
2018-11-15,80.97200012,79.570274
2018-11-16,79.67050171,80.78425
2018-11-19,75.61450195,79.48333
2018-11-20,74.77300262,75.28515
2018-11-21,75.83650208,74.56252
2018-11-23,75.10299683,75.84703
2018-11-26,79.0664978,75.145996
2018-11-27,79.07099915,79.20385
2018-11-28,83.88749695,79.122696
2018-11-29,83.67849731,83.95943
2018-11-30,84.50849915,83.505615
2018-12-03,88.61799622,84.126755
2018-12-04,83.41999817,88.40467
2018-12-06,84.95950317,82.6164
2018-12-07,81.45649719,84.31191
2018-12-10,82.05149841,80.757835
2018-12-11,82.16200256,81.550255
2018-12-12,83.17700195,81.8337
2018-12-13,82.91899872,82.93927
2018-12-14,79.59549713,82.635475
2018-12-17,76.04550171,79.10691
2018-12-18,77.5739975,75.53704
2018-12-19,74.7539978,77.37027
2018-12-20,73.04149628,74.62358
2018-12-21,68.87249756,72.90831
2018-12-24,67.19799805,68.79977
2018-12-26,73.54499817,67.21686
2018-12-27,73.08200073,73.77455
2018-12-28,73.90100098,73.41144
2018-12-31,75.09850311,73.97419
2019-01-02,76.95649719,75.08213
2019-01-03,75.01399994,76.88551
2019-01-04,78.76950073,74.76913
2019-01-07,81.47550201,78.5459
2019-01-08,82.82900238,81.35226
2019-01-09,82.97100067,82.55459
2019-01-10,82.81099701,82.49412
2019-01-11,82.02799988,82.22016
2019-01-14,80.86049652,81.38742
